priority,days_until_deadline,hours_remaining_ratio,deadline_pressure,session_count,days_since_active,user_completion_rate,user_abandon_rate,category_completion_rate,avg_pauses_per_task,avg_effort_accuracy,avg_session_duration,label_at_risk
1,18.32,0.2886,5.8124,10,14,0.4811,0.3196,0.0518,2.6928,0.7688,7.605,1
4,9.67,0.8099,2.5464,4,8,0.7602,0.3574,0.4716,3.2947,1.1977,111.5435,0
4,5.44,0.0665,7.4112,7,10,0.7953,0.121,0.1637,1.3141,2.1291,79.8237,0
2,10.76,0.8772,3.9245,7,7,0.4391,0.2262,0.4627,2.411,1.9952,60.3264,1
2,16.31,0.9065,6.2424,18,5,0.9398,0.3766,0.3349,1.1142,2.0881,74.4087,0
2,26.82,0.7886,1.5167,0,12,0.2485,0.4464,0.0335,4.5591,2.0249,105.2119,1
1,25.39,0.1275,3.9729,7,4,0.4864,0.2454,0.7719,0.0976,1.6969,67.861,0
3,17.97,0.8268,9.5907,7,5,0.2274,0.2542,0.2879,4.9196,2.3237,16.6939,1
3,17.79,0.1022,9.1875,4,7,0.023,0.3908,0.7712,2.9955,0.6378,9.2785,1
1,25.21,0.9107,1.2281,4,4,0.1655,0.1118,0.8375,2.6572,1.1229,27.2875,0
3,6.17,0.7878,6.0372,2,14,0.4145,0.5181,0.923,3.7256,1.4617,110.2146,1
2,0.99,0.9127,2.4823,6,3,0.4189,0.5489,0.3624,4.6447,1.7645,1.5713,0
4,4.46,0.4146,0.8535,7,0,0.2996,0.186,0.3973,3.4143,2.0996,41.9264,0
2,18.75,0.3777,8.3656,18,1,0.294,0.4284,0.5276,4.2756,1.4622,59.6414,1
2,2.27,0.7532,2.723,18,13,0.5266,0.4804,0.9789,6.7183,2.234,48.9581,1
2,7.62,0.1961,5.0551,7,5,0.3393,0.3417,0.8875,4.4538,1.9416,96.6378,0
3,28.88,0.9444,1.4108,13,14,0.324,0.0522,0.6332,5.8872,2.1963,14.7332,1
3,19.29,0.7039,9.1062,4,3,0.3359,0.4951,0.3631,0.2738,2.1613,41.4231,1
3,6.59,0.9745,7.7976,16,9,0.5658,0.5912,0.4711,1.4569,1.4696,61.4949,1
3,20.97,0.4026,2.1802,10,13,0.9844,0.3154,0.1717,2.1785,0.5368,109.7159,0
2,16.63,0.6514,8.2974,9,5,0.1369,0.54,0.8739,4.7793,1.701,79.8044,1
1,27.43,0.4188,3.8314,13,1,0.1663,0.4428,0.0828,4.8252,0.9907,46.7155,0
3,8.91,0.5664,4.7605,14,7,0.9368,0.4395,0.2149,0.2495,1.0245,71.4094,0
1,14.89,0.5968,3.3424,1,4,0.3444,0.2109,0.4128,5.6394,1.6966,55.1618,1
4,23.7,0.6906,5.213,11,13,0.9582,0.455,0.6389,6.0723,1.9482,76.4678,0
4,27.1,0.6467,6.9318,8,12,0.6699,0.0265,0.5883,7.9948,1.6116,56.7852,1
3,5.78,0.1153,4.2176,17,14,0.862,0.5067,0.3191,6.6313,0.574,71.5524,0
2,3.62,0.077,6.9629,7,9,0.7248,0.0392,0.3153,4.3159,2.0814,38.2503,0
3,6.99,0.0244,8.701,12,12,0.384,0.5596,0.07,0.0759,0.6054,10.6252,1
1,14.39,0.5808,2.7169,9,13,0.4178,0.2528,0.7376,1.9102,0.7209,42.5547,0
2,1.26,0.0179,9.8772,8,14,0.3843,0.4078,0.2183,7.5997,2.0727,10.7293,1
2,26.37,0.9447,4.674,12,1,0.167,0.5947,0.2317,7.5419,1.7993,72.9284,1
1,6.61,0.1864,7.7958,5,4,0.0578,0.5815,0.8838,7.422,2.4898,20.8674,1
2,22.75,0.696,1.539,2,5,0.6229,0.4487,0.0349,7.1594,2.2203,54.8919,0
2,1.33,0.8522,0.3542,14,7,0.9316,0.4411,0.2814,2.0212,0.5102,83.4857,0
1,15.98,0.9621,1.0947,4,12,0.8512,0.2971,0.4806,4.7393,2.1494,41.7371,0
2,26.36,0.7974,6.5845,0,10,0.8673,0.425,0.837,5.5798,1.8603,74.2334,1
3,4.76,0.8809,8.7184,18,14,0.8258,0.0773,0.3351,5.9481,0.8215,98.156,1
1,8.61,0.6169,9.8119,16,7,0.2598,0.3804,0.54,6.2388,0.714,91.3233,1
2,28.89,0.3419,6.3262,4,12,0.7888,0.1043,0.7709,7.5784,0.8328,92.5181,0
1,2.24,0.8524,9.9015,14,12,0.446,0.3885,0.5944,3.0689,0.6313,98.5816,1
2,24.56,0.2525,0.0103,1,13,0.4685,0.5666,0.1022,6.8337,1.554,99.1105,1
3,6.9,0.1313,8.6805,11,7,0.4323,0.5662,0.4197,5.1082,1.2952,32.9058,1
4,12.28,0.8941,2.2995,2,0,0.6517,0.2211,0.8644,3.7857,2.4364,22.2631,0
3,25.34,0.761,6.2622,11,4,0.9118,0.5805,0.1855,3.6968,0.5025,71.7993,1
3,7.43,0.5584,2.2554,1,7,0.4332,0.5906,0.1496,3.7168,1.8609,47.4654,1
4,27.23,0.7243,7.4916,8,0,0.1028,0.3425,0.0184,3.8589,0.9207,41.522,1
3,28.24,0.0724,5.3424,8,12,0.0825,0.4947,0.3578,2.5768,2.4549,24.1031,1
1,20.11,0.9515,1.2422,5,8,0.9362,0.0312,0.5413,5.6725,2.2419,85.6904,0
3,10.18,0.8148,0.8011,19,3,0.5975,0.4703,0.4809,0.326,0.828,52.6329,0
3,14.38,0.6157,3.2902,13,3,0.7443,0.5231,0.4337,0.3493,0.8233,2.5033,1
3,9.97,0.5425,4.9328,9,2,0.6802,0.0433,0.0307,2.0615,1.4252,104.1927,0
2,10.38,0.371,9.8765,17,0,0.514,0.3528,0.0294,3.1641,1.7124,71.7268,1
3,19.65,0.9921,2.8385,11,2,0.623,0.3789,0.7331,1.0525,1.9316,109.0839,0
4,5.43,0.8544,4.9228,14,13,0.5148,0.2155,0.593,1.3082,1.2822,116.3295,1
2,19.7,0.3252,7.7347,3,12,0.237,0.1408,0.8837,3.5362,1.1618,53.8533,1
2,17.64,0.9486,2.5253,19,11,0.0367,0.4418,0.6638,3.797,2.1883,96.6804,1
2,26.05,0.2058,1.1192,17,13,0.0571,0.3187,0.9366,0.3147,0.7442,54.2639,0
2,1.25,0.1483,9.8663,10,13,0.9518,0.3835,0.8679,3.6379,1.5312,58.6616,1
3,4.19,0.03,3.0793,15,1,0.2019,0.4041,0.9699,0.7512,1.8452,53.25,0
3,25.14,0.9446,6.8325,17,1,0.6178,0.5213,0.5706,0.2431,2.3619,82.7432,1
3,6.47,0.6589,3.9386,4,8,0.1066,0.3947,0.9994,0.3857,2.4543,48.829,1
2,22.15,0.8785,4.0414,13,3,0.6676,0.4847,0.7623,6.3825,1.3712,98.1401,0
1,16.33,0.0058,3.2459,11,9,0.3962,0.4173,0.3886,3.5895,0.9751,44.7902,1
3,13.9,0.3798,8.6333,15,1,0.4792,0.0154,0.3412,3.0416,1.2976,69.6207,1
2,18.24,0.7649,8.1299,17,11,0.9555,0.0109,0.1958,0.0605,1.7949,107.7637,1
1,28.03,0.3516,1.0142,3,4,0.2849,0.1844,0.803,4.3133,1.1226,73.2401,0
3,8.18,0.4135,1.2189,10,6,0.6811,0.1089,0.5252,5.6724,0.7138,68.0775,0
2,1.3,0.6332,9.514,8,9,0.212,0.3666,0.411,6.7189,2.3,42.4106,1
2,23.42,0.2748,8.2261,6,9,0.8095,0.46,0.1497,3.3916,0.806,28.2283,1
2,5.35,0.3123,2.3025,6,10,0.2319,0.2345,0.5945,3.9741,2.4756,16.3728,1
3,12.13,0.4282,7.176,16,10,0.9913,0.077,0.1041,5.7947,1.6568,32.8993,0
2,2.08,0.5191,0.6761,4,11,0.2337,0.324,0.8801,5.207,1.5659,38.9201,0
2,20.08,0.9941,6.6184,16,2,0.7307,0.2791,0.0601,4.4984,2.4153,21.0364,0
2,2.9,0.4504,7.5616,16,11,0.9812,0.2849,0.3825,0.9586,2.4483,2.4032,1
3,23.06,0.2437,6.7156,19,5,0.257,0.4727,0.8647,4.8679,1.5137,19.1165,0
2,10.39,0.2391,5.0972,2,3,0.2797,0.5654,0.8733,1.2941,2.0726,68.9505,0
2,11.73,0.5012,3.9718,5,1,0.628,0.4046,0.5325,5.7714,0.7826,25.4379,0
1,4.61,0.2236,9.5732,17,9,0.8225,0.0795,0.862,7.3821,1.4741,72.7504,1
3,5.25,0.5026,3.9866,12,4,0.1218,0.2869,0.5061,1.8604,0.6599,93.2068,1
4,26.28,0.2778,8.5145,10,13,0.6026,0.2189,0.3865,4.5155,0.8836,25.4106,1
2,22.63,0.6195,2.9736,18,8,0.1422,0.0728,0.3033,0.8084,1.8843,7.475,1
3,18.46,0.3063,6.239,5,6,0.7243,0.4753,0.4048,5.2326,1.2085,63.0606,0
2,5.31,0.3871,9.6382,1,13,0.4813,0.0115,0.2598,6.0823,0.7742,64.2372,1
2,13.63,0.8444,0.9808,3,1,0.3247,0.4424,0.476,3.0071,1.289,55.1336,0
3,26.76,0.9553,7.869,8,8,0.6881,0.2626,0.2547,6.727,0.5769,108.2114,1
3,26.85,0.6367,6.1393,12,2,0.1057,0.593,0.4433,0.3826,0.576,89.5449,1
3,24.06,0.1054,0.3557,19,4,0.3876,0.2772,0.9916,7.766,2.3846,94.0611,0
2,24.92,0.0687,4.243,14,11,0.8989,0.4695,0.2278,7.8079,1.8347,1.2513,0
2,7.82,0.0693,9.5983,17,9,0.7987,0.1757,0.98,4.8151,1.6648,89.7688,0
1,10.15,0.9281,2.2462,7,10,0.5501,0.2332,0.1637,2.1903,2.3566,81.1179,1
2,0.38,0.9924,6.7145,6,0,0.2584,0.3264,0.6361,1.7685,2.4568,89.783,1
1,9.6,0.7532,2.6933,12,1,0.1079,0.4112,0.0919,7.721,1.4768,18.0811,1
2,12.4,0.7582,7.4342,2,14,0.1059,0.0909,0.0938,4.6174,2.2543,52.0561,1
3,22.25,0.8815,2.779,2,9,0.6576,0.1866,0.7423,6.5209,1.73,82.5461,0
2,16.16,0.5242,8.4805,11,0,0.011,0.4497,0.7587,5.427,2.0125,101.0364,1
1,11.56,0.6434,7.804,2,9,0.3915,0.2476,0.6956,0.0257,1.7392,42.6592,0
3,2.79,0.5882,4.8097,13,2,0.0649,0.348,0.5615,4.4853,1.707,81.1762,1
3,14.95,0.0771,0.5855,12,11,0.7849,0.4246,0.7886,4.1382,1.3804,17.6943,0
2,13.02,0.0886,2.2061,14,10,0.7336,0.1797,0.1735,5.1004,1.4923,21.3903,0
4,6.09,0.5655,9.7965,2,12,0.7003,0.3515,0.5865,5.5814,2.3592,93.9098,1
1,25.58,0.2255,3.7691,4,3,0.8026,0.2749,0.483,1.0678,0.6612,87.3527,0
3,22.97,0.1589,6.1023,19,7,0.4721,0.008,0.2827,0.3568,0.5726,33.0864,0
2,23.61,0.9748,3.7121,9,8,0.7767,0.0392,0.4876,0.2689,0.6253,108.7725,0
2,10.42,0.8998,0.2182,10,3,0.128,0.5293,0.3934,6.6229,2.0754,74.9311,0
2,29.39,0.145,7.2516,4,7,0.3383,0.1852,0.947,7.7388,0.866,2.6442,0
1,20.51,0.5451,9.8052,1,11,0.7228,0.0406,0.7078,4.3483,0.6635,54.9961,1
2,4.97,0.9457,8.4998,1,9,0.4623,0.2471,0.651,4.3635,0.6245,61.5003,1
1,23.59,0.2014,2.5862,19,9,0.3302,0.4541,0.5194,1.6391,2.2557,105.5498,1
3,7.16,0.4512,9.8499,16,14,0.5525,0.0565,0.3437,2.2594,1.2815,95.8013,1
2,2.8,0.4411,1.9561,11,9,0.094,0.214,0.7575,2.2115,1.1247,77.121,0
1,26.91,0.5202,4.476,5,11,0.166,0.3681,0.3631,7.1775,0.8377,60.8461,1
2,21.98,0.8204,3.1316,5,13,0.0835,0.5294,0.8036,4.0417,2.4343,50.1313,1
4,20.04,0.6347,1.6595,5,9,0.4275,0.0973,0.0126,4.478,1.5548,86.3224,0
3,24.57,0.5408,7.1024,11,8,0.4712,0.493,0.4593,2.8624,1.4884,99.3899,1
2,5.21,0.712,8.2598,0,4,0.4201,0.5432,0.7397,1.5301,1.7276,52.2607,1
3,25.31,0.254,0.3112,15,1,0.3251,0.4118,0.0696,1.3991,2.2115,27.2615,0
3,8.38,0.6429,6.9415,14,5,0.3604,0.0411,0.7632,3.2665,2.0185,108.4329,1
1,26.97,0.6508,8.7423,1,7,0.3795,0.136,0.3816,1.0308,1.3255,96.2825,1
2,0.54,0.4214,0.2718,5,6,0.1275,0.4246,0.9728,6.6083,1.8986,100.7353,0
2,18.85,0.5327,6.3509,19,13,0.2184,0.0721,0.0683,2.1065,0.5922,68.0605,1
2,24.74,0.0742,2.2635,13,13,0.5988,0.0387,0.8772,7.0181,1.1608,40.8487,0
2,12.88,0.2678,7.8916,4,3,0.2202,0.293,0.7376,4.2019,0.5653,104.2262,1
1,28.67,0.0251,6.9445,7,11,0.9107,0.2787,0.1375,2.7265,0.8296,20.4698,0
3,19.19,0.6764,1.3169,3,5,0.7868,0.5825,0.2627,2.1726,1.4458,118.0608,0
2,12.21,0.8915,0.0292,11,5,0.0456,0.084,0.2768,7.7723,1.1627,57.8449,1
2,6.21,0.5166,0.0551,13,0,0.2191,0.022,0.108,2.7109,2.1052,68.6458,0
2,8.8,0.9318,3.9702,4,0,0.6171,0.0683,0.3452,4.0593,2.2484,59.2256,0
2,12.65,0.411,9.0761,12,11,0.6746,0.178,0.7184,7.6323,1.9428,103.5457,1
1,21.53,0.8296,0.4056,19,1,0.2567,0.3992,0.8004,5.3013,0.6846,71.5586,0
2,9.63,0.7499,4.1268,8,9,0.3619,0.3562,0.0101,5.0888,2.3266,73.5088,1
3,21.72,0.1206,9.0245,5,2,0.534,0.0853,0.0117,3.3763,1.0901,58.3201,0
1,16.76,0.3432,7.2917,5,11,0.3874,0.5111,0.4039,0.6209,1.5851,103.4091,1
2,6.79,0.3842,4.5012,11,14,0.7594,0.0593,0.8897,0.0985,1.2401,3.2904,0
2,4.97,0.6457,0.4478,0,0,0.9466,0.2039,0.5172,3.0313,0.5134,46.3049,0
3,17.88,0.1013,8.4714,7,1,0.8417,0.3481,0.5597,0.8421,0.8347,116.643,0
1,6.27,0.9256,4.1415,18,1,0.3132,0.0882,0.4879,1.0404,2.171,44.4476,0
2,14.22,0.4441,9.9486,8,0,0.0882,0.3641,0.1516,0.2475,2.4415,92.8247,1
2,5.05,0.2469,8.3855,2,9,0.8268,0.4254,0.1772,4.0596,1.8548,28.2045,1
3,16.34,0.1652,5.8298,2,12,0.6262,0.2933,0.4018,7.9508,2.2606,74.8087,1
2,11.85,0.0395,4.7555,3,5,0.2277,0.5784,0.9095,5.7771,1.5668,104.3963,1
1,23.72,0.1248,7.9421,19,8,0.8771,0.5664,0.1488,3.7014,2.462,58.0089,1
2,8.57,0.2032,7.618,14,10,0.5113,0.2954,0.5773,6.9246,2.4615,48.9101,1
3,22.94,0.5735,9.5605,15,14,0.1093,0.5124,0.4391,6.7758,2.2862,7.4949,1
2,18.8,0.9264,0.1912,10,2,0.6925,0.0807,0.2994,2.8697,2.1089,33.4512,0
2,28.72,0.0089,9.9782,7,9,0.8285,0.1768,0.0143,5.903,2.1683,88.8571,1
3,19.76,0.7661,8.4592,1,14,0.0886,0.2926,0.0776,3.2603,1.3142,7.9212,1
2,3.33,0.8082,9.4769,1,12,0.9551,0.3135,0.2996,0.6149,1.5012,95.3419,1
1,12.09,0.2953,2.3238,6,2,0.8035,0.5575,0.4051,7.2489,1.143,57.1724,0
2,19.21,0.979,6.0349,18,8,0.7596,0.1127,0.7198,6.9355,1.4079,98.5718,1
2,13.9,0.2347,3.0319,14,5,0.5633,0.072,0.9168,5.7652,1.3029,19.0349,0
3,24.71,0.7217,2.7155,16,14,0.1027,0.1134,0.783,5.7203,1.687,107.4872,1
2,28.21,0.0827,9.3089,0,10,0.2704,0.5056,0.3133,6.3115,2.2837,52.0581,1
4,11.32,0.9641,0.8929,0,11,0.6327,0.4223,0.0044,1.3356,1.9261,79.9662,1
2,3.16,0.7818,6.4415,9,0,0.3601,0.5741,0.5004,3.4618,1.4154,25.0659,1
2,11.09,0.0524,7.6757,17,4,0.8222,0.5102,0.212,5.2588,1.4446,105.6188,1
3,8.86,0.1366,6.5164,17,2,0.3156,0.3869,0.3951,5.7057,0.8984,106.8258,0
2,11.03,0.0581,1.1151,9,4,0.2676,0.5013,0.0147,3.0328,1.1747,2.3193,0
2,12.13,0.5309,5.9513,10,8,0.9635,0.3114,0.6775,2.4949,2.048,92.7506,0
2,29.28,0.1256,0.1695,14,13,0.3677,0.109,0.4355,2.6568,1.1836,88.6832,0
2,17.04,0.663,5.4838,3,14,0.6756,0.3282,0.8298,4.8492,1.0823,24.8514,0
1,26.98,0.7101,9.3738,1,11,0.4734,0.0358,0.6716,4.6577,2.4804,28.6991,1
3,16.84,0.7769,2.0498,11,6,0.1408,0.3734,0.7813,4.6264,0.7939,97.3349,1
3,11.64,0.6741,2.599,16,14,0.9175,0.1743,0.47,7.1211,1.9154,7.4644,0
1,28.74,0.5297,2.4189,13,4,0.6209,0.5572,0.7609,4.3749,0.8606,55.0318,1
2,25.92,0.4813,8.9767,11,0,0.137,0.597,0.5272,3.1349,1.8182,13.0672,1
2,28.59,0.5225,2.1912,4,8,0.9194,0.1057,0.214,0.1042,0.5284,99.527,0
3,10.65,0.6983,3.9521,15,1,0.9671,0.2357,0.8542,6.1847,1.12,27.8448,0
4,22.91,0.8552,6.0306,4,9,0.7844,0.2262,0.552,6.438,0.5921,96.9695,1
1,15.44,0.8083,2.5382,2,11,0.6624,0.0711,0.2889,3.1827,2.3391,119.1906,0
3,27.55,0.9509,5.7712,13,0,0.7875,0.1506,0.5641,2.8686,1.8133,28.8479,0
1,27.55,0.1018,5.0596,10,8,0.0389,0.0216,0.1752,6.9342,1.065,114.0551,0
2,15.5,0.7588,2.825,6,14,0.9038,0.5075,0.4009,6.1049,2.1463,106.6665,1
2,6.13,0.2553,2.9569,15,6,0.0328,0.3816,0.3644,2.3619,2.259,55.2003,0
3,15.47,0.4633,0.454,19,6,0.931,0.2351,0.5467,4.2562,1.6809,7.3597,0
2,21.69,0.2006,2.0358,19,2,0.8827,0.0311,0.1911,2.4807,1.9634,76.8763,0
3,26.88,0.818,2.5281,18,13,0.1254,0.2022,0.9995,3.246,0.941,91.4979,1
2,4.49,0.3807,4.1447,9,9,0.0207,0.1614,0.5176,2.1508,1.7569,57.8241,1
3,3.9,0.5601,7.8073,18,3,0.9724,0.2693,0.159,1.4416,0.6965,96.4222,0
1,3.75,0.8505,3.446,1,10,0.0519,0.0853,0.2134,5.3212,0.8147,14.2649,1
2,16.48,0.312,4.825,3,3,0.3844,0.0151,0.839,0.0913,1.9074,116.4309,0
2,7.05,0.7049,8.1713,0,0,0.5407,0.2578,0.3088,3.8581,0.737,115.3816,1
3,20.31,0.625,3.1655,18,8,0.7967,0.1503,0.6249,4.574,2.1657,108.7304,0
1,20.22,0.0518,5.4886,10,4,0.353,0.3728,0.334,5.8616,1.3091,8.2024,0
2,20.56,0.3325,0.5659,14,6,0.9444,0.385,0.6715,5.0583,0.898,50.2001,0
3,3.04,0.2779,2.7632,9,8,0.9804,0.0405,0.5187,1.4349,2.4414,13.5964,0
3,12.68,0.3465,3.9761,2,9,0.5168,0.4441,0.6307,4.3969,1.8796,17.273,0
2,5.16,0.9255,0.6833,8,5,0.6958,0.2748,0.0921,4.427,1.7833,84.4551,0
2,20.16,0.5836,5.2576,1,12,0.1741,0.0702,0.4491,4.8981,0.9262,112.6869,0
1,23.17,0.6252,3.7355,12,11,0.6275,0.2314,0.9363,4.3359,2.3793,26.458,0
3,6.44,0.665,4.9804,17,2,0.8901,0.0506,0.8072,6.8906,2.1345,61.5272,0
2,29.89,0.2292,5.4688,8,9,0.7009,0.1224,0.654,6.547,0.6,109.3826,0
1,2.31,0.9112,3.5486,17,2,0.2153,0.3583,0.5948,2.9776,1.1661,106.1957,0
2,14.81,0.2833,7.8677,2,9,0.5136,0.152,0.9877,2.332,2.0415,51.2995,1
2,25.96,0.9153,8.5982,17,7,0.7874,0.2468,0.8737,5.1036,2.1673,59.9318,1
2,4.33,0.784,4.1939,10,9,0.0219,0.1806,0.5026,0.4494,1.4822,111.2533,1
2,19.66,0.2602,1.5949,15,12,0.0705,0.1114,0.6642,7.0535,2.1283,82.2161,0
1,8.68,0.3098,2.4996,9,6,0.2549,0.4455,0.0766,6.9811,2.1562,25.9272,1
3,11.21,0.2715,2.3178,16,4,0.9036,0.0466,0.8289,2.7911,1.5432,95.3383,0
3,10.34,0.4618,4.1452,8,12,0.4592,0.2467,0.7219,3.0784,1.4788,51.553,1
2,23.68,0.2968,5.4137,16,13,0.1657,0.5345,0.2415,2.8342,0.7107,26.6834,1
2,18.23,0.2454,0.5773,18,5,0.2196,0.5759,0.6163,4.455,1.3316,51.4733,1
3,5.15,0.5001,4.1196,0,1,0.0221,0.5671,0.6966,3.9656,2.3663,52.6915,1
4,15.37,0.1143,7.648,2,6,0.773,0.5709,0.7765,4.8907,2.2146,80.7896,1
2,21.44,0.8816,7.3132,8,7,0.7526,0.279,0.8742,1.6275,0.7548,34.2611,0
2,15.32,0.8206,4.0457,14,2,0.0134,0.2458,0.6478,0.1241,1.0618,24.9548,1
1,22.29,0.8479,5.4559,16,12,0.4505,0.308,0.9892,1.8524,2.3851,5.1405,1
2,2.1,0.7292,6.0841,3,10,0.3695,0.0272,0.3499,7.4343,1.2585,99.7641,1
3,2.86,0.1037,0.4866,3,7,0.4261,0.3288,0.5211,2.8016,1.8549,91.0202,0
1,6.22,0.7132,3.8662,8,14,0.8904,0.45,0.9082,6.0697,1.6943,78.4959,0
3,4.69,0.4739,7.164,15,7,0.5885,0.1112,0.5998,6.8921,2.2373,86.9213,1
3,16.74,0.5847,1.3365,18,9,0.4508,0.5751,0.4311,4.3947,1.5665,76.4114,0
2,24.78,0.4631,2.7846,3,6,0.2646,0.3972,0.8149,6.2242,2.0217,22.5267,1
1,20.97,0.3683,4.3235,0,4,0.2596,0.0202,0.8792,1.9472,1.6147,4.6775,0
